76 training frames, 3 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
2715 MP of training mosaic
1.95 M parameters
step 1000  loss 0.3696  σ0.01: 38.60 (38.19)  σ0.03: 33.36 (23.27)  σ0.1: 27.35 (14.56)  0.5 min
step 2000  loss 0.2748  σ0.01: 41.50 (38.19)  σ0.03: 33.98 (23.27)  σ0.1: 27.62 (14.56)  0.9 min
step 3000  loss 0.2691  σ0.01: 45.04 (38.19)  σ0.03: 35.08 (23.27)  σ0.1: 29.12 (14.56)  1.3 min
step 4000  loss 0.2468  σ0.01: 45.74 (38.19)  σ0.03: 35.84 (23.27)  σ0.1: 30.01 (14.56)  2.1 min
step 5000  loss 0.2218  σ0.01: 46.32 (38.19)  σ0.03: 36.57 (23.27)  σ0.1: 30.49 (14.56)  2.8 min
step 6000  loss 0.2033  σ0.01: 46.61 (38.19)  σ0.03: 36.89 (23.27)  σ0.1: 30.78 (14.56)  3.2 min
step 7000  loss 0.1972  σ0.01: 46.82 (38.19)  σ0.03: 37.16 (23.27)  σ0.1: 31.19 (14.56)  3.6 min
step 8000  loss 0.1956  σ0.01: 46.95 (38.19)  σ0.03: 37.36 (23.27)  σ0.1: 30.92 (14.56)  4.0 min
step 9000  loss 0.1893  σ0.01: 47.03 (38.19)  σ0.03: 37.48 (23.27)  σ0.1: 30.85 (14.56)  4.4 min
step 10000  loss 0.1744  σ0.01: 47.13 (38.19)  σ0.03: 37.59 (23.27)  σ0.1: 31.04 (14.56)  4.9 min
step 11000  loss 0.1758  σ0.01: 47.20 (38.19)  σ0.03: 37.69 (23.27)  σ0.1: 31.11 (14.56)  5.6 min
step 12000  loss 0.1769  σ0.01: 47.25 (38.19)  σ0.03: 37.76 (23.27)  σ0.1: 31.31 (14.56)  6.0 min
step 13000  loss 0.1803  σ0.01: 47.32 (38.19)  σ0.03: 37.84 (23.27)  σ0.1: 31.24 (14.56)  6.4 min
step 14000  loss 0.1734  σ0.01: 47.36 (38.19)  σ0.03: 37.90 (23.27)  σ0.1: 31.51 (14.56)  6.8 min
step 15000  loss 0.1591  σ0.01: 47.40 (38.19)  σ0.03: 37.95 (23.27)  σ0.1: 31.61 (14.56)  7.2 min
step 16000  loss 0.1615  σ0.01: 47.42 (38.19)  σ0.03: 37.99 (23.27)  σ0.1: 31.73 (14.56)  7.6 min
step 17000  loss 0.1531  σ0.01: 47.45 (38.19)  σ0.03: 38.04 (23.27)  σ0.1: 31.79 (14.56)  8.0 min
step 18000  loss 0.1547  σ0.01: 47.47 (38.19)  σ0.03: 38.09 (23.27)  σ0.1: 31.93 (14.56)  8.4 min
step 19000  loss 0.1565  σ0.01: 47.48 (38.19)  σ0.03: 38.12 (23.27)  σ0.1: 32.04 (14.56)  8.8 min
step 20000  loss 0.1575  σ0.01: 47.50 (38.19)  σ0.03: 38.15 (23.27)  σ0.1: 31.85 (14.56)  9.2 min
step 21000  loss 0.1527  σ0.01: 47.51 (38.19)  σ0.03: 38.18 (23.27)  σ0.1: 32.01 (14.56)  9.6 min
step 22000  loss 0.1451  σ0.01: 47.52 (38.19)  σ0.03: 38.22 (23.27)  σ0.1: 31.97 (14.56)  10.0 min
step 23000  loss 0.1503  σ0.01: 47.53 (38.19)  σ0.03: 38.24 (23.27)  σ0.1: 31.97 (14.56)  10.4 min
step 24000  loss 0.1487  σ0.01: 47.54 (38.19)  σ0.03: 38.25 (23.27)  σ0.1: 32.15 (14.56)  10.8 min
step 25000  loss 0.1445  σ0.01: 47.54 (38.19)  σ0.03: 38.25 (23.27)  σ0.1: 32.20 (14.56)  11.2 min
step 26000  loss 0.1436  σ0.01: 47.54 (38.19)  σ0.03: 38.27 (23.27)  σ0.1: 32.20 (14.56)  11.6 min
step 27000  loss 0.1456  σ0.01: 47.54 (38.19)  σ0.03: 38.28 (23.27)  σ0.1: 32.33 (14.56)  12.0 min
step 28000  loss 0.1399  σ0.01: 47.53 (38.19)  σ0.03: 38.28 (23.27)  σ0.1: 32.31 (14.56)  12.4 min
step 29000  loss 0.1445  σ0.01: 47.52 (38.19)  σ0.03: 38.28 (23.27)  σ0.1: 32.40 (14.56)  12.8 min
step 30000  loss 0.1424  σ0.01: 47.53 (38.19)  σ0.03: 38.28 (23.27)  σ0.1: 32.41 (14.56)  13.3 min
