426 training frames, 9 validation: ['4Z4A4667', '5M0A8089', 'IMG_3582']
5963 MP of training mosaic
2.15 M parameters
step 2000  loss 0.5196  @1σ0.01: 44.79 (38.19)  @1σ0.03: 32.65 (23.27)  @1σ0.1: 23.65 (14.56)  @2σ0.01: 37.44 (32.12)  @2σ0.03: 31.27 (22.83)  @2σ0.1: 23.36 (14.46)  @3σ0.01: 34.34 (31.07)  @3σ0.03: 30.70 (22.89)  @3σ0.1: 23.43 (14.44)  4.7 min
step 4000  loss 0.4026  @1σ0.01: 46.28 (38.19)  @1σ0.03: 34.56 (23.27)  @1σ0.1: 24.75 (14.56)  @2σ0.01: 39.28 (32.12)  @2σ0.03: 32.47 (22.83)  @2σ0.1: 24.49 (14.46)  @3σ0.01: 36.01 (31.07)  @3σ0.03: 32.22 (22.89)  @3σ0.1: 24.13 (14.44)  9.3 min
step 6000  loss 0.3457  @1σ0.01: 47.07 (38.18)  @1σ0.03: 36.32 (23.27)  @1σ0.1: 25.36 (14.56)  @2σ0.01: 40.46 (32.12)  @2σ0.03: 33.45 (22.83)  @2σ0.1: 25.21 (14.46)  @3σ0.01: 37.00 (31.07)  @3σ0.03: 33.35 (22.89)  @3σ0.1: 24.56 (14.44)  13.8 min
step 8000  loss 0.3170  @1σ0.01: 47.39 (38.19)  @1σ0.03: 37.10 (23.27)  @1σ0.1: 26.21 (14.56)  @2σ0.01: 40.95 (32.12)  @2σ0.03: 33.89 (22.83)  @2σ0.1: 25.97 (14.46)  @3σ0.01: 37.48 (31.07)  @3σ0.03: 33.88 (22.89)  @3σ0.1: 25.02 (14.44)  18.4 min
step 10000  loss 0.3041  @1σ0.01: 47.56 (38.19)  @1σ0.03: 37.49 (23.27)  @1σ0.1: 27.05 (14.56)  @2σ0.01: 41.20 (32.12)  @2σ0.03: 34.11 (22.83)  @2σ0.1: 26.64 (14.46)  @3σ0.01: 37.78 (31.07)  @3σ0.03: 34.16 (22.89)  @3σ0.1: 25.54 (14.44)  23.0 min
step 12000  loss 0.2916  @1σ0.01: 47.63 (38.19)  @1σ0.03: 37.71 (23.27)  @1σ0.1: 26.99 (14.56)  @2σ0.01: 41.32 (32.12)  @2σ0.03: 34.23 (22.83)  @2σ0.1: 26.62 (14.46)  @3σ0.01: 37.94 (31.07)  @3σ0.03: 34.32 (22.89)  @3σ0.1: 25.48 (14.44)  27.6 min
step 14000  loss 0.2992  @1σ0.01: 47.69 (38.19)  @1σ0.03: 37.85 (23.27)  @1σ0.1: 27.33 (14.56)  @2σ0.01: 41.40 (32.12)  @2σ0.03: 34.33 (22.83)  @2σ0.1: 26.95 (14.46)  @3σ0.01: 38.06 (31.07)  @3σ0.03: 34.44 (22.89)  @3σ0.1: 25.77 (14.44)  32.1 min
step 16000  loss 0.2790  @1σ0.01: 47.75 (38.19)  @1σ0.03: 37.96 (23.27)  @1σ0.1: 27.65 (14.56)  @2σ0.01: 41.48 (32.12)  @2σ0.03: 34.40 (22.83)  @2σ0.1: 27.23 (14.46)  @3σ0.01: 38.14 (31.07)  @3σ0.03: 34.53 (22.89)  @3σ0.1: 25.99 (14.44)  36.7 min
step 18000  loss 0.2824  @1σ0.01: 47.78 (38.18)  @1σ0.03: 38.06 (23.27)  @1σ0.1: 27.70 (14.56)  @2σ0.01: 41.54 (32.12)  @2σ0.03: 34.45 (22.83)  @2σ0.1: 27.37 (14.46)  @3σ0.01: 38.21 (31.07)  @3σ0.03: 34.61 (22.89)  @3σ0.1: 26.10 (14.44)  41.3 min
step 20000  loss 0.2747  @1σ0.01: 47.82 (38.19)  @1σ0.03: 38.14 (23.27)  @1σ0.1: 27.88 (14.56)  @2σ0.01: 41.58 (32.12)  @2σ0.03: 34.50 (22.83)  @2σ0.1: 27.52 (14.46)  @3σ0.01: 38.26 (31.07)  @3σ0.03: 34.67 (22.89)  @3σ0.1: 26.18 (14.44)  45.8 min
step 22000  loss 0.2777  @1σ0.01: 47.84 (38.18)  @1σ0.03: 38.23 (23.27)  @1σ0.1: 28.06 (14.56)  @2σ0.01: 41.62 (32.12)  @2σ0.03: 34.53 (22.83)  @2σ0.1: 27.71 (14.46)  @3σ0.01: 38.30 (31.07)  @3σ0.03: 34.73 (22.89)  @3σ0.1: 26.37 (14.44)  50.4 min
